id,status,one_liner,relation,domain,ai_level,total_score,priority_score,price,rejection_reasons
IDEA-2026-0040,candidate,父母面向学龄儿童：拍餐食，AI结合病史给出吃法建议,父母->学龄儿童,健康/饮食,L3,95,98.0,29.9元/月,
IDEA-2026-0041,candidate,父母面向学龄儿童：拍用药，AI结合用药相关记录给出吃法建议,父母->学龄儿童,健康/用药,L3,95,98.0,29.9元/月,
IDEA-2026-0042,candidate,父母面向学龄儿童：拍体检，AI结合体检相关记录给出吃法建议,父母->学龄儿童,健康/体检,L3,95,98.0,29.9元/月,
IDEA-2026-0043,candidate,父母面向学龄儿童：拍体征，AI结合体征相关记录给出吃法建议,父母->学龄儿童,健康/体征,L3,95,98.0,29.9元/月,
IDEA-2026-0044,candidate,父母面向学龄儿童：拍康复，AI结合康复相关记录给出吃法建议,父母->学龄儿童,健康/康复,L3,95,98.0,29.9元/月,
IDEA-2026-0045,candidate,父母面向学龄儿童：拍孕产，AI结合孕产相关记录给出吃法建议,父母->学龄儿童,健康/孕产,L3,95,98.0,29.9元/月,
IDEA-2026-0068,candidate,父母面向学龄儿童：共同记录症状与诱因，AI识别高风险模式并提醒复查,父母->学龄儿童,健康/康复,L3,95,98.0,29.9元/月,
IDEA-2026-0069,candidate,父母面向学龄儿童：围绕饮食记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,父母->学龄儿童,健康/饮食,L3,95,98.0,29.9元/月,
IDEA-2026-0070,candidate,父母面向学龄儿童：围绕用药记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,父母->学龄儿童,健康/用药,L3,95,98.0,29.9元/月,
IDEA-2026-0071,candidate,父母面向学龄儿童：围绕体检记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,父母->学龄儿童,健康/体检,L3,95,98.0,29.9元/月,
IDEA-2026-0072,candidate,父母面向学龄儿童：围绕体征记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,父母->学龄儿童,健康/体征,L3,95,98.0,29.9元/月,
IDEA-2026-0073,candidate,父母面向学龄儿童：围绕孕产记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,父母->学龄儿童,健康/孕产,L3,95,98.0,29.9元/月,
IDEA-2026-0157,candidate,家属面向孕产妇：拍餐食，AI结合病史给出吃法建议,家属->孕产妇,健康/饮食,L3,95,98.0,29.9元/月,
IDEA-2026-0158,candidate,家属面向孕产妇：拍用药，AI结合用药相关记录给出吃法建议,家属->孕产妇,健康/用药,L3,95,98.0,29.9元/月,
IDEA-2026-0159,candidate,家属面向孕产妇：拍体检，AI结合体检相关记录给出吃法建议,家属->孕产妇,健康/体检,L3,95,98.0,29.9元/月,
IDEA-2026-0160,candidate,家属面向孕产妇：拍体征，AI结合体征相关记录给出吃法建议,家属->孕产妇,健康/体征,L3,95,98.0,29.9元/月,
IDEA-2026-0161,candidate,家属面向孕产妇：拍康复，AI结合康复相关记录给出吃法建议,家属->孕产妇,健康/康复,L3,95,98.0,29.9元/月,
IDEA-2026-0162,candidate,家属面向孕产妇：拍孕产，AI结合孕产相关记录给出吃法建议,家属->孕产妇,健康/孕产,L3,95,98.0,29.9元/月,
IDEA-2026-0185,candidate,家属面向孕产妇：共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->孕产妇,健康/康复,L3,95,98.0,29.9元/月,
IDEA-2026-0186,candidate,家属面向孕产妇：围绕饮食记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->孕产妇,健康/饮食,L3,95,98.0,29.9元/月,
IDEA-2026-0187,candidate,家属面向孕产妇：围绕用药记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->孕产妇,健康/用药,L3,95,98.0,29.9元/月,
IDEA-2026-0188,candidate,家属面向孕产妇：围绕体检记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->孕产妇,健康/体检,L3,95,98.0,29.9元/月,
