id,status,one_liner,relation,domain,ai_level,total_score,priority_score,price,rejection_reasons
IDEA-2026-0079,candidate,父母面向学龄儿童：拍餐食，AI结合病史给出吃法建议,父母->学龄儿童,健康/饮食,L3,95,98.0,29.9元/月,
IDEA-2026-0080,candidate,父母面向学龄儿童：拍用药，AI结合用药相关记录给出吃法建议,父母->学龄儿童,健康/用药,L3,95,98.0,29.9元/月,
IDEA-2026-0081,candidate,父母面向学龄儿童：拍体检，AI结合体检相关记录给出吃法建议,父母->学龄儿童,健康/体检,L3,95,98.0,29.9元/月,
IDEA-2026-0082,candidate,父母面向学龄儿童：拍体征，AI结合体征相关记录给出吃法建议,父母->学龄儿童,健康/体征,L3,95,98.0,29.9元/月,
IDEA-2026-0083,candidate,父母面向学龄儿童：拍康复，AI结合康复相关记录给出吃法建议,父母->学龄儿童,健康/康复,L3,95,98.0,29.9元/月,
IDEA-2026-0084,candidate,父母面向学龄儿童：拍孕产，AI结合孕产相关记录给出吃法建议,父母->学龄儿童,健康/孕产,L3,95,98.0,29.9元/月,
IDEA-2026-0107,candidate,父母面向学龄儿童：共同记录症状与诱因，AI识别高风险模式并提醒复查,父母->学龄儿童,健康/康复,L3,95,98.0,29.9元/月,
IDEA-2026-0108,candidate,父母面向学龄儿童：围绕饮食记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,父母->学龄儿童,健康/饮食,L3,95,98.0,29.9元/月,
IDEA-2026-0109,candidate,父母面向学龄儿童：围绕用药记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,父母->学龄儿童,健康/用药,L3,95,98.0,29.9元/月,
IDEA-2026-0110,candidate,父母面向学龄儿童：围绕体检记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,父母->学龄儿童,健康/体检,L3,95,98.0,29.9元/月,
IDEA-2026-0111,candidate,父母面向学龄儿童：围绕体征记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,父母->学龄儿童,健康/体征,L3,95,98.0,29.9元/月,
IDEA-2026-0112,candidate,父母面向学龄儿童：围绕孕产记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,父母->学龄儿童,健康/孕产,L3,95,98.0,29.9元/月,
IDEA-2026-0313,candidate,家属面向孕产妇：拍餐食，AI结合病史给出吃法建议,家属->孕产妇,健康/饮食,L3,95,98.0,29.9元/月,
IDEA-2026-0314,candidate,家属面向孕产妇：拍用药，AI结合用药相关记录给出吃法建议,家属->孕产妇,健康/用药,L3,95,98.0,29.9元/月,
IDEA-2026-0315,candidate,家属面向孕产妇：拍体检，AI结合体检相关记录给出吃法建议,家属->孕产妇,健康/体检,L3,95,98.0,29.9元/月,
IDEA-2026-0316,candidate,家属面向孕产妇：拍体征，AI结合体征相关记录给出吃法建议,家属->孕产妇,健康/体征,L3,95,98.0,29.9元/月,
IDEA-2026-0317,candidate,家属面向孕产妇：拍康复，AI结合康复相关记录给出吃法建议,家属->孕产妇,健康/康复,L3,95,98.0,29.9元/月,
IDEA-2026-0318,candidate,家属面向孕产妇：拍孕产，AI结合孕产相关记录给出吃法建议,家属->孕产妇,健康/孕产,L3,95,98.0,29.9元/月,
IDEA-2026-0341,candidate,家属面向孕产妇：共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->孕产妇,健康/康复,L3,95,98.0,29.9元/月,
IDEA-2026-0342,candidate,家属面向孕产妇：围绕饮食记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->孕产妇,健康/饮食,L3,95,98.0,29.9元/月,
IDEA-2026-0343,candidate,家属面向孕产妇：围绕用药记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->孕产妇,健康/用药,L3,95,98.0,29.9元/月,
IDEA-2026-0344,candidate,家属面向孕产妇：围绕体检记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->孕产妇,健康/体检,L3,95,98.0,29.9元/月,
IDEA-2026-0345,candidate,家属面向孕产妇：围绕体征记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->孕产妇,健康/体征,L3,95,98.0,29.9元/月,
IDEA-2026-0346,candidate,家属面向孕产妇：围绕孕产记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->孕产妇,健康/孕产,L3,95,98.0,29.9元/月,
IDEA-2026-0001,candidate,成年子女面向老年父母：拍餐食，AI结合病史给出吃法建议,成年子女->老年父母,健康/饮食,L3,97,93.8,29.9元/月,
IDEA-2026-0002,candidate,成年子女面向老年父母：拍用药，AI结合用药相关记录给出吃法建议,成年子女->老年父母,健康/用药,L3,97,93.8,29.9元/月,
IDEA-2026-0003,candidate,成年子女面向老年父母：拍体检，AI结合体检相关记录给出吃法建议,成年子女->老年父母,健康/体检,L3,97,93.8,29.9元/月,
IDEA-2026-0004,candidate,成年子女面向老年父母：拍体征，AI结合体征相关记录给出吃法建议,成年子女->老年父母,健康/体征,L3,97,93.8,29.9元/月,
IDEA-2026-0005,candidate,成年子女面向老年父母：拍康复，AI结合康复相关记录给出吃法建议,成年子女->老年父母,健康/康复,L3,97,93.8,29.9元/月,
IDEA-2026-0006,candidate,成年子女面向老年父母：拍孕产，AI结合孕产相关记录给出吃法建议,成年子女->老年父母,健康/孕产,L3,97,93.8,29.9元/月,
IDEA-2026-0029,candidate,成年子女面向老年父母：共同记录症状与诱因，AI识别高风险模式并提醒复查,成年子女->老年父母,健康/康复,L3,97,93.8,29.9元/月,
IDEA-2026-0030,candidate,成年子女面向老年父母：围绕饮食记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,成年子女->老年父母,健康/饮食,L3,97,93.8,29.9元/月,
